i,ar_1,ar_2,ar_3,ar_4,ar_5,ar_6,omega_range_1,omega_range_2,omega_range_4
1.0,0.508079,0.480864,0.24358108,0.0,0.0,0.0,0.81375025,1.6275005,0.0
2.0,0.498029,0.474594,0.24386336,0.0,0.0,0.0,0.81375025,1.6275005,0.0
3.0,0.4880315,0.467454,0.24334234,0.0,0.0,0.0,0.81375025,1.6275005,0.0
4.0,0.4775085,0.461298,0.24446847,0.0,0.0,0.0,0.81375025,1.6275005,0.0
5.0,0.4648745,0.538356,0.24227027,0.0,0.0,0.0,0.81375025,1.35625042,0.0
6.0,0.4540715,0.530948,0.24368468,0.0,0.0,0.0,0.81375025,1.35625042,0.0
7.0,0.507921,0.523902,0.24297748,0.0,0.0,0.0,0.67812521,1.35625042,0.0
8.0,0.4973625,0.51531,0.24222372,0.0,0.0,0.0,0.67812521,1.35625042,0.0
9.0,0.4856335,0.509154,0.24246997,0.0,0.0,0.0,0.67812521,1.35625042,0.0
10.0,0.474463,0.50202,0.24177928,0.0,0.0,0.0,0.67812521,1.35625042,0.0
11.0,0.4620895,0.495356,0.24227027,0.0,0.0,0.0,0.67812521,1.35625042,0.0
12.0,0.515542,0.48839,0.24266366,0.0,0.0,0.0,0.56510434,1.35625042,0.0
13.0,0.503991,0.479682,0.24203303,0.0,0.0,0.0,0.56510434,1.35625042,0.0
14.0,0.4912595,0.471346,0.24185135,0.0,0.0,0.0,0.56510434,1.35625042,0.0
15.0,0.4786295,0.466326,0.24131982,0.0,0.0,0.0,0.56510434,1.35625042,0.0
16.0,0.4649545,0.459262,0.24099399,0.0,0.0,0.0,0.56510434,1.35625042,0.0
17.0,0.451979,0.534048,0.24184535,0.0,0.0,0.0,0.56510434,1.13020868,0.0
18.0,0.5042915,0.52733,0.24100901,0.0,0.0,0.0,0.47092028,1.13020868,0.0
19.0,0.491158,0.518456,0.24185886,0.0,0.0,0.0,0.47092028,1.13020868,0.0
20.0,0.4772515,0.511688,0.24051051,0.0,0.0,0.0,0.47092028,1.13020868,0.0
21.0,0.4638585,0.501412,0.24056607,0.0,0.0,0.0,0.47092028,1.13020868,0.0
22.0,0.515089,0.493044,0.24006607,0.0,0.0,0.0,0.39243357,1.13020868,0.0
23.0,0.500575,0.487066,0.2401967,0.0,0.0,0.0,0.39243357,1.13020868,0.0
24.0,0.4868435,0.47794,0.2398979,0.0,0.0,0.0,0.39243357,1.13020868,0.0
25.0,0.4724085,0.470012,0.23904955,0.0,0.0,0.0,0.39243357,1.13020868,0.0
26.0,0.4560175,0.46295,0.23862312,0.0,0.0,0.0,0.39243357,1.13020868,0.0
27.0,0.5070665,0.535186,0.23926877,0.0,0.0,0.0,0.32702798,0.94184057,0.0
28.0,0.4917225,0.5251,0.23775375,0.0,0.0,0.0,0.32702798,0.94184057,0.0
29.0,0.4769205,0.516268,0.2373003,0.0,0.0,0.0,0.32702798,0.94184057,0.0
30.0,0.4615715,0.506476,0.23792042,0.0,0.0,0.0,0.32702798,0.94184057,0.0
31.0,0.5108935,0.49831,0.23797898,0.0,0.0,0.0,0.27252331,0.94184057,0.0
32.0,0.495448,0.490696,0.23701802,0.0,0.0,0.0,0.27252331,0.94184057,0.0
33.0,0.4796605,0.481342,0.23745345,0.0,0.0,0.0,0.27252331,0.94184057,0.0
34.0,0.4646345,0.473174,0.23625075,0.0,0.0,0.0,0.27252331,0.94184057,0.0
35.0,0.5135705,0.464912,0.23605105,0.0,0.0,0.0,0.22710276,0.94184057,0.0
36.0,0.497968,0.456264,0.23575676,0.0,0.0,0.0,0.22710276,0.94184057,0.0
37.0,0.48102,0.524708,0.23357808,0.0,0.0,0.0,0.22710276,0.78486714,0.0
38.0,0.4658965,0.51377,0.23464715,0.0,0.0,0.0,0.22710276,0.78486714,0.0
39.0,0.5148455,0.50507,0.23328529,0.0,0.0,0.0,0.1892523,0.78486714,0.0
40.0,0.498385,0.494646,0.2327973,0.0,0.0,0.0,0.1892523,0.78486714,0.0
41.0,0.4815875,0.48563,0.23186036,0.0,0.0,0.0,0.1892523,0.78486714,0.0
42.0,0.465744,0.479114,0.23082583,0.0,0.0,0.0,0.1892523,0.78486714,0.0
43.0,0.514704,0.468524,0.23077327,0.0,0.0,0.0,0.15771025,0.78486714,0.0
44.0,0.4973175,0.4598,0.23036486,0.0,0.0,0.0,0.15771025,0.78486714,0.0
45.0,0.481117,0.52341,0.22936036,0.0,0.0,0.0,0.15771025,0.65405595,0.0
46.0,0.46415,0.51525,0.22733033,0.0,0.0,0.0,0.15771025,0.65405595,0.0
47.0,0.51332,0.505908,0.22771471,0.0,0.0,0.0,0.13142521,0.65405595,0.0
48.0,0.496429,0.498192,0.22694294,0.0,0.0,0.0,0.13142521,0.65405595,0.0
49.0,0.4800515,0.487716,0.22550751,0.0,0.0,0.0,0.13142521,0.65405595,0.0
50.0,0.4628335,0.475572,0.22486486,0.0,0.0,0.0,0.13142521,0.65405595,0.0
51.0,0.5122435,0.468876,0.22431081,0.0,0.0,0.0,0.10952101,0.65405595,0.0
52.0,0.494956,0.457356,0.22157508,0.0,0.0,0.0,0.10952101,0.65405595,0.0
53.0,0.4777195,0.516274,0.22032583,0.0,0.0,0.0,0.10952101,0.54504663,0.0
54.0,0.4610065,0.507698,0.21954204,0.0,0.0,0.0,0.10952101,0.54504663,0.0
55.0,0.5092725,0.495624,0.21759009,0.0,0.0,0.0,0.09126751,0.54504663,0.0
56.0,0.492697,0.488844,0.21634084,0.0,0.0,0.0,0.09126751,0.54504663,0.0
57.0,0.4754515,0.47757,0.21508258,0.0,0.0,0.0,0.09126751,0.54504663,0.0
58.0,0.4586,0.467896,0.2138964,0.0,0.0,0.0,0.09126751,0.54504663,0.0
59.0,0.506998,0.456776,0.21257658,0.0,0.0,0.0,0.07605626,0.54504663,0.0
60.0,0.490419,0.515008,0.21051051,0.0,0.0,0.0,0.07605626,0.45420552,0.0
61.0,0.47358,0.502498,0.21062462,0.0,0.0,0.0,0.07605626,0.45420552,0.0
62.0,0.4565505,0.491178,0.20885586,0.0,0.0,0.0,0.07605626,0.45420552,0.0
63.0,0.5043925,0.4825,0.20724324,0.0,0.0,0.0,0.06338021,0.45420552,0.0
64.0,0.4876705,0.471132,0.20658559,0.0,0.0,0.0,0.06338021,0.45420552,0.0
65.0,0.470114,0.462916,0.2043018,0.0,0.0,0.0,0.06338021,0.45420552,0.0
66.0,0.4532445,0.513196,0.2038048,0.0,0.0,0.0,0.06338021,0.3785046,0.0
67.0,0.501975,0.501838,0.20178078,0.0,0.0,0.0,0.05281684,0.3785046,0.0
68.0,0.4851285,0.491168,0.20081832,0.0,0.0,0.0,0.05281684,0.3785046,0.0
69.0,0.468148,0.479316,0.19946847,0.0,0.0,0.0,0.05281684,0.3785046,0.0
70.0,0.5153405,0.4676,0.1971006,0.0,0.0,0.0,0.04401404,0.3785046,0.0
71.0,0.4992205,0.457638,0.19668468,0.0,0.0,0.0,0.04401404,0.3785046,0.0
72.0,0.4821105,0.503918,0.19606156,0.0,0.0,0.0,0.04401404,0.3154205,0.0
73.0,0.465614,0.492176,0.19351201,0.0,0.0,0.0,0.04401404,0.3154205,0.0
74.0,0.512996,0.48035,0.19268318,0.0,0.0,0.0,0.03667836,0.3154205,0.0
75.0,0.49601,0.46895,0.19090691,0.0,0.0,0.0,0.03667836,0.3154205,0.0
76.0,0.4788035,0.458144,0.18971471,0.0,0.0,0.0,0.03667836,0.3154205,0.0
77.0,0.4621865,0.5027,0.18778829,0.0,0.0,0.0,0.03667836,0.26285042,0.0
78.0,0.5095955,0.490374,0.18542042,0.0,0.0,0.0,0.0305653,0.26285042,0.0
79.0,0.493017,0.480036,0.18425225,0.0,0.0,0.0,0.0305653,0.26285042,0.0
80.0,0.475997,0.46873,0.18249399,0.0,0.0,0.0,0.0305653,0.26285042,0.0
81.0,0.4589685,0.456084,0.18109009,0.0,0.0,0.0,0.0305653,0.26285042,0.0
82.0,0.506976,0.498502,0.17929129,0.0,0.0,0.0,0.02547109,0.21904201,0.0
83.0,0.490272,0.487104,0.17771922,0.0,0.0,0.0,0.02547109,0.21904201,0.0
84.0,0.4731265,0.474854,0.17543844,0.0,0.0,0.0,0.02547109,0.21904201,0.0
85.0,0.455453,0.462148,0.17450751,0.0,0.0,0.0,0.02547109,0.21904201,0.0
86.0,0.504929,0.50406,0.1717988,0.0,0.0,0.0,0.0212259,0.18253501,0.0
87.0,0.4876675,0.49139,0.17103303,0.0,0.0,0.0,0.0212259,0.18253501,0.0
88.0,0.470357,0.480106,0.16942943,0.0,0.0,0.0,0.0212259,0.18253501,0.0
89.0,0.4535455,0.468276,0.16737688,0.0,0.0,0.0,0.0212259,0.18253501,0.0
90.0,0.501721,0.455888,0.16588739,0.0,0.0,0.0,0.01768825,0.18253501,0.0
91.0,0.484233,0.496284,0.16345045,0.0,0.0,0.0,0.01768825,0.15211251,0.0
92.0,0.4672255,0.485294,0.1622988,0.0,0.0,0.0,0.01768825,0.15211251,0.0
93.0,0.5156415,0.47431,0.15973123,0.0,0.0,0.0,0.01474021,0.15211251,0.0
94.0,0.498971,0.461288,0.15839189,0.0,0.0,0.0,0.01474021,0.15211251,0.0
95.0,0.4814495,0.498844,0.15646096,0.0,0.0,0.0,0.01474021,0.12676043,0.0
96.0,0.46467,0.487918,0.15370871,0.0,0.0,0.0,0.01474021,0.12676043,0.0
97.0,0.5122555,0.47758,0.15312012,0.0,0.0,0.0,0.01228351,0.12676043,0.0
98.0,0.495276,0.467044,0.1502012,0.0,0.0,0.0,0.01228351,0.12676043,0.0
99.0,0.4784515,0.454408,0.14896396,0.0,0.0,0.0,0.01228351,0.12676043,0.0
100.0,0.4609305,0.491994,0.14697898,0.0,0.0,0.0,0.01228351,0.10563369,0.0
101.0,0.509279,0.480838,0.14601201,0.0,0.0,0.0,0.01023626,0.10563369,0.0
102.0,0.4920485,0.473672,0.14156907,0.0,0.0,0.0,0.01023626,0.10563369,0.0
103.0,0.4755595,0.464116,0.13914865,0.0,0.0,0.0,0.01023626,0.10563369,0.0
104.0,0.4581105,0.453058,0.13827327,0.0,0.0,0.0,0.01023626,0.10563369,0.0
105.0,0.5066575,0.489224,0.13676877,0.0,0.0,0.0,0.00853022,0.08802807,0.0
106.0,0.48922,0.478942,0.13479129,0.0,0.0,0.0,0.00853022,0.08802807,0.0
107.0,0.4722695,0.468292,0.13308258,0.0,0.0,0.0,0.00853022,0.08802807,0.0
108.0,0.455016,0.457158,0.13250901,0.0,0.0,0.0,0.00853022,0.08802807,0.0
109.0,0.5032595,0.496654,0.13133033,0.0,0.0,0.0,0.00710851,0.07335673,0.0
